PROD_MON,issue_cnt,sell_in
201501,676,11005
201502,697,8969
201503,789,10744
201504,827,11156
201505,790,11014
201506,862,13747
201507,1095,16135
201508,1098,20027
201509,1076,42068
201510,1207,52370
201511,1588,58160
201512,1876,47853
201601,2134,42485
201602,2372,31241
201603,2490,36493
201604,2412,35377
201605,2440,45197
201606,2899,46933
201607,3370,37102
201608,3761,40150
201609,3730,50407
201610,3534,79098
201611,3792,112339
201612,4278,93732
201701,4351,67800
201702,4057,45288
201703,4687,66022
201704,4059,59025
201705,4109,65895
201706,4289,66015
201707,5489,58083
201708,6119,71274
201709,5517,109514
201710,5870,162150
201711,6068,212196
201712,5900,153008
201801,7049,112239
201802,6287,89564
201803,7181,121880
201804,6712,118174
201805,6795,131917
201806,7866,113234
201807,8507,95516
201808,8791,102495
201809,8954,129141
201810,9838,191453
201811,9396,219656
201812,8697,98292
201901,10243,138237
201902,9649,90250
201903,9478,124371
201904,8744,106688
201905,8875,127753
201906,8529,101191
201907,9853,78174
201908,10356,107072
201909,10091,134102
201910,11021,197824
201911,11385,222519
201912,10732,163183
202001,11115,132963
202002,11458,115137
202003,10892,104548
202004,7900,73842
202005,9085,102220
202006,10347,128428
202007,11851,120999
202008,11595,157215
202009,12594,210774
202010,14428,296155
202011,14196,312692
202012,20444,230720
202101,20961,287147
202102,21551,216805
202103,21852,269226
202104,2556,46787
