"","PURC_MON_NEW","group","value","value_label"
"1","202009","'21(R)",1.13795848774214,1.13795848774214
"2","202010","'21(R)",1.15331758735423,1.15331758735423
"3","202011","'21(R)",1.25932510036687,1.25932510036687
"4","202012","'21(R)",1.09536145881577,1.09536145881577
"5","202101","'21(R)",1.09447505081326,1.09447505081326
"6","202102","'21(R)",1.05990800391027,1.05990800391027
"7","202103","'21(R)",1.03661847702501,1.03661847702501
"8","202104","'21(R)",NA,NA
"9","202105","'21(R)",NA,NA
"10","202106","'21(R)",NA,NA
"11","202107","'21(R)",NA,NA
"12","202108","'21(R)",NA,NA
"13","202109","'21(R)",NA,NA
"14","202009","L6M",0.318444012044837,0.318444012044837
"15","202010","L6M",0.307635246442141,0.307635246442141
"16","202011","L6M",0.271523768881219,0.271523768881219
"17","202012","L6M",0.242567803606406,0.242567803606406
"18","202101","L6M",0.21959130863572,0.21959130863572
"19","202102","L6M",0.215401975367394,0.215401975367394
"20","202103","L6M",0.208771096710864,0.208771096710864
"21","202104","L6M",NA,NA
"22","202105","L6M",NA,NA
"23","202106","L6M",NA,NA
"24","202107","L6M",NA,NA
"25","202108","L6M",NA,NA
"26","202109","L6M",NA,NA
"27","202009","L3M",0.150758588636974,0.150758588636974
"28","202010","L3M",0.106851944741114,0.106851944741114
"29","202011","L3M",0.0932251921104852,0.0932251921104852
"30","202012","L3M",0.100597955146605,0.100597955146605
"31","202101","L3M",0.0930839555521065,0.0930839555521065
"32","202102","L3M",0.107648132850091,0.107648132850091
"33","202103","L3M",0.0955758832419597,0.0955758832419597
"34","202104","L3M",NA,NA
"35","202105","L3M",NA,NA
"36","202106","L3M",NA,NA
"37","202107","L3M",NA,NA
"38","202108","L3M",NA,NA
"39","202109","L3M",NA,NA
"40","202009","'20(R)",1.43674663151954,1.43674663151954
"41","202010","'20(R)",1.42745179039035,1.42745179039035
"42","202011","'20(R)",1.47527969432091,1.47527969432091
"43","202012","'20(R)",1.32957274222569,1.32957274222569
"44","202101","'20(R)",1.34380326823217,1.34380326823217
"45","202102","'20(R)",1.33498934017815,1.33498934017815
"46","202103","'20(R)",1.31835856476744,1.31835856476744
"47","202104","'20(R)",1.22522511326852,1.22522511326852
"48","202105","'20(R)",1.17497889234217,1.17497889234217
"49","202106","'20(R)",1.19100025355537,1.19100025355537
"50","202107","'20(R)",1.18202073849683,1.18202073849683
"51","202108","'20(R)",1.14300231215981,1.14300231215981
"52","202109","'20(R)",1.13795848774214,1.13795848774214
"53","202009","L3M('20)",0.19113127023016,0.19113127023016
"54","202010","L3M('20)",0.195953627644073,0.195953627644073
"55","202011","L3M('20)",0.170970737700663,0.170970737700663
"56","202012","L3M('20)",0.136476930371398,0.136476930371398
"57","202101","L3M('20)",0.158547517752599,0.158547517752599
"58","202102","L3M('20)",0.160403528378702,0.160403528378702
"59","202103","L3M('20)",0.138383167900221,0.138383167900221
"60","202104","L3M('20)",0.0859033692198278,0.0859033692198278
"61","202105","L3M('20)",0.0902115625338052,0.0902115625338052
"62","202106","L3M('20)",0.12454895171299,0.12454895171299
"63","202107","L3M('20)",0.181133798576791,0.181133798576791
"64","202108","L3M('20)",0.172214481888027,0.172214481888027
"65","202109","L3M('20)",0.150758588636974,0.150758588636974
